Name,Interests,Cluster,Journey Frequency
Lawerence Hackleman,science,35,145
Debra Thomas,"science,culture,adventure,pets,politics",572,164
John Ivie,science,35,909
Christopher Prater,"food,sports",57,691
Helen Neil,"politics,adventure,fashion",82,673
Michael Ashley,"food,pets,joke,movie,culture",75,21
Anna Garrett,"movie,pets,culture,food",75,51
Wesley Neaves,"pets,sports,food,culture",265,771
Ella Stallings,"joke,culture,pets,science,sports,movie",499,1000
Dianne Hahn,"fashion,movie,adventure,science,politics,food,joke",278,317
Cheryl Sanchez,politics,20,1000
Elaine Cabrera,"sports,movie",66,873
Tina Boggess,"joke,culture,sports,fashion,politics",107,373
Susan Swart,"joke,culture,adventure,pets,sports,movie,science",336,682
Donald Buel,"joke,movie,science,adventure",569,967
Bettye Staton,"movie,adventure,culture,joke,pets,fashion,sports",548,842
Patricia Somilleda,pets,18,352
Antonio Siskin,"culture,politics",68,830
Brian Kennerson,movie,11,322
Joe Jones,"fashion,pets,movie,adventure,politics",372,541
Scott Maldanado,"movie,joke,sports,fashion",422,719
David Cyr,"adventure,joke",58,173
Agustin Feld,"fashion,culture",30,678
Bonnie Martin,"culture,food,movie,science,sports",387,917
John Moore,"politics,culture,fashion",136,734
Mary Mcbee,"culture,adventure,movie",314,513
Thomas Hanson,"adventure,joke",58,535
Kevin Gauvin,adventure,26,788
Randall Alexander,"science,sports,movie,food,joke,pets",348,187
Beatrice Allen,"politics,sports,culture",150,13
Marsha Mayfield,adventure,26,32
Michele Hollingsworth,"fashion,joke,science,adventure,movie,politics,food",278,499
Julie Unterreiner,"culture,food,politics,pets,movie,fashion",341,780
Audrey Crook,"movie,pets",61,723
Lulu Okelley,"movie,adventure,sports",170,657
Judith Obrien,"politics,food,science,joke,pets,adventure",106,494
William Daniels,"fashion,movie",77,876
Mark Jaynes,"politics,food",43,649
Greta Bryant,"food,movie,sports,fashion,politics",55,486
Richard Mueller,"science,joke,movie,sports,fashion,food,pets",348,126
Dennis Mason,culture,15,527
Ramon Jernigan,adventure,26,657
Terry Garcia,"joke,pets,food,culture,science",288,330
Ramon Cohen,"movie,food,politics,culture",143,510
Agnes Coop,"fashion,joke,food,sports",474,736
Robin Campbell,movie,11,63
Ashley Swenson,"pets,politics,food,science,joke",106,995
Brittany Lark,"science,adventure,sports,food,politics,pets",94,49
Roy Calhoun,"pets,science,culture,joke,adventure,sports",184,973
William Burkhart,"food,joke,adventure",247,964
Susan Waters,joke,14,720
Christopher Mullins,"science,adventure,joke,movie,politics,fashion",320,871
Beverly Miller,"pets,joke,fashion,movie,culture,food,science",307,393
Louisa Black,"fashion,joke,pets,food,movie,sports",348,147
Daniel Kauffman,"joke,food,movie,culture",312,889
Gregory Hue,"food,sports,adventure,politics,pets",525,139
Russell Pennington,joke,14,815
Gregory Williams,"science,sports,joke,politics,movie,fashion",589,762
Forrest Morissette,"science,sports,politics",316,442
Willis Constanza,"food,joke,politics,movie,adventure,fashion,culture",543,520
James Watson,"adventure,culture,fashion",149,958
Virginia Lippincott,"politics,fashion,culture,food,joke",295,691
Jay Draper,"science,pets,movie,fashion,sports",557,723
Julee Pollock,"adventure,politics,culture,sports,movie,science",507,456
Robert Walker,"joke,science,adventure,food",366,449
Yvonne Galvez,"adventure,sports,movie",170,921
Donna Edwards,"movie,culture",67,852
Steven Stevens,"culture,sports,fashion,pets,adventure,joke",588,397
Andrew Riggs,"sports,politics,culture,fashion,joke,movie",439,902
Carl Rosado,"joke,culture,adventure,movie",211,896
Jerome Gibson,"joke,science,sports,pets",435,602
Shannon Draughn,"culture,pets,science,adventure,movie,politics,fashion",465,322
Tereasa Rodriguez,"movie,adventure,pets,science,politics,culture",346,512
Ashley Bender,"science,fashion,sports,joke,movie,politics,culture",439,432
Anne Clemens,"science,adventure",10,152
Troy Roux,"science,movie,politics,joke,fashion,culture,pets",354,490
Gary Mull,"culture,joke,sports,science,adventure",221,708
Paul Barlow,"pets,food,politics,adventure,fashion,movie",188,997
Holly Montano,"fashion,politics,culture,science,joke,food",295,475
Luis Pastrana,"pets,sports,movie,joke,science",181,348
Brenda Jarvis,politics,20,951
Regenia Cochrane,"culture,adventure,science,sports,movie",281,440
Diane Deubler,"fashion,science,joke,politics,adventure,pets,sports",510,423
Julie Livingston,"fashion,culture,joke,politics,food,sports,pets",129,258
John Hall,"food,pets,sports",189,498
Amber Heft,"sports,fashion,politics,culture,science,adventure",485,412
Reginald Messing,joke,14,537
Mary Simons,"culture,adventure,food,fashion,joke,politics",5,1000
Charles Norsworthy,"politics,movie,food",303,870
Rufina Dicaprio,"pets,fashion,culture,sports,adventure",588,785
Dwayne Bernstein,"fashion,politics,science,movie",72,378
Ralph Bower,food,24,696
John Henke,"fashion,joke,politics,movie",362,573
Sarah Snowden,"science,adventure",10,345
Richard Pickens,"pets,science,joke,food,movie,adventure",564,173
Ronald Powell,"food,politics,joke,fashion,science,sports",148,424
John Threet,"politics,fashion,culture,science,food,joke",295,845
Lydia Williams,"food,sports",57,307
Mary Prioletti,"sports,pets,politics,food",599,429
Theresa Bentson,fashion,9,623
Ann Paige,food,24,912
George Conner,"joke,adventure,fashion",144,367
Tommy Brooks,"pets,fashion,joke",40,768
Tina Secrease,"joke,fashion",112,932
Charles Spadaro,"joke,politics,science,movie",493,838
Sheila Harris,"politics,movie,adventure",205,866
David Rankin,"science,food,culture",352,675
Bernice Munoz,"food,joke,sports,movie",331,13
Nicole Rivera,"sports,fashion,culture,science,joke",107,303
Lena Towers,"science,adventure,food,culture,fashion,movie,joke",88,186
Timothy Snodgrass,"joke,sports,pets,food,culture,science",23,771
Nathanial Eyre,"pets,movie,politics",291,617
Stella Leach,science,35,304
Charlene Gumpert,"sports,movie,pets,culture,joke,politics,adventure",39,772
Pamela Love,"food,politics",43,139
Anita Moore,"politics,science",51,516
Adam Carr,"science,sports,adventure,pets",467,18
Margaret Baumgardner,"food,adventure,joke,movie",453,632
Katherine Simmons,food,24,671
Michael Snyder,"science,adventure,fashion,movie,politics,sports",323,992
Rose Liriano,politics,20,237
Lawrence Scully,"sports,pets,joke",267,912
John Jordan,"culture,adventure,science,fashion,politics,joke,sports",485,942
Norma Gray,"politics,pets,adventure,movie,fashion",372,379
Lula Reinsch,"pets,joke,food,politics",398,2
William Delton,"fashion,movie,politics,pets,science,culture,joke",354,879
Anna Johnston,joke,14,810
Elisabeth Nelson,food,24,778
Andrea Demond,"food,politics,movie",303,475
Stephen Gilmore,"food,politics,pets,adventure,movie,joke,sports",486,876
Richard Hickman,"joke,pets,fashion",40,368
Kerry Bower,"food,politics,pets",174,25
Nadia Whitfield,"politics,movie",120,251
Norma Taylor,"food,pets,movie,culture,science,fashion",552,4
John Uribe,"science,fashion",52,615
Rudy Taylor,"sports,food,joke,science,movie",160,252
John Bernard,"food,culture,fashion,sports,joke,politics,pets",129,127
Chris Williams,"sports,movie,culture,pets",473,502
Leroy Fosmire,"adventure,movie,joke,sports,politics",223,616
Martin Hubbard,culture,15,620
Traci Davis,"politics,culture,movie",270,231
Nancy Donald,"science,pets,joke,adventure,sports,food",386,144
Lucille Seamans,"joke,politics,culture,sports,adventure,food",390,441
Ellis Spillane,"culture,politics,fashion,science,adventure",327,223
Charles Longoria,pets,18,314
Joanna Castro,"food,joke,sports",168,212
Robert Landers,"culture,sports,food,politics,adventure",146,281
Donny Brown,"sports,adventure,science,food,joke,movie",434,649
Thomas Marsh,"movie,fashion,culture,sports",159,549
Tricia Stewart,"joke,fashion,politics,movie",362,794
Edward Willis,"joke,sports",78,179
Xavier Barton,fashion,9,29
Donna Reinke,"movie,sports,food",204,134
Ava Ng,culture,15,53
Pamala Corey,"science,food,pets,fashion,adventure,joke",429,73
Cherryl Delgado,"food,fashion,culture,joke,adventure",356,877
Michael Bullock,"joke,culture,movie,fashion,politics,food,sports",396,52
Lucille Gaier,"movie,joke",41,837
Delbert Perea,"pets,fashion",95,635
Madonna Smolen,sports,8,984
Marco Davenport,"joke,politics,pets,food,adventure,culture,movie",406,945
Kenneth Sanders,science,35,171
Lynn Sonnenberg,"science,adventure,sports,politics,food,joke,pets",500,473
Barbara Neilson,"food,adventure,movie",232,57
Alissa Hyldahl,"adventure,food,culture,sports,fashion",146,210
Rachel Hoover,science,35,600
Evan Riggs,"fashion,movie,politics,adventure,pets",372,467
David Ruiz,joke,14,58
Michelle Guevara,"movie,politics,adventure,science,food,sports",412,967
Shaun Griffin,"science,movie,joke,sports,culture,adventure,fashion",7,834
Robert Price,"science,politics,pets,joke,movie,adventure,food",381,336
Jeanne Uren,"food,science,joke,movie,pets,politics,sports",135,33
Andy Seefeldt,"movie,adventure,fashion,pets,politics",372,644
Robert Weiss,"food,adventure",54,370
Jessica Bagley,"joke,movie,politics,culture,science,pets",354,892
Carol Avellino,"politics,fashion,sports,pets,culture",496,122
Janet Thompson,"food,sports,fashion,pets,movie,politics",203,582
Nathanial Tyler,"pets,politics",53,808
William Libengood,"joke,science,pets,culture,adventure,politics,fashion",38,282
Ricardo Root,"sports,politics,joke,pets,movie",282,43
Johnny Tuttle,"adventure,food,joke,fashion,sports,science",28,938
Kenneth Ward,"politics,adventure",101,741
Scott Bauman,"adventure,joke,pets,movie,culture",586,165
Robert Cook,"science,pets,culture,food,politics",33,205
Susan Moore,"sports,movie,adventure",170,301
Rebecca Bell,"pets,food,movie",225,454
John Howell,"sports,movie,science",289,314
Judith Moody,movie,11,228
Paul Fisher,"fashion,food",76,149
Edward Norstrand,"pets,adventure,science,sports",467,836
Alfredo Sandage,food,24,643
Dennis Graham,"movie,joke,adventure,culture",211,293
Warren Kirk,"joke,pets",93,336
Pedro Mckinnon,"movie,culture,joke,science,politics",546,766
Stacey Zamudio,"joke,sports",78,24
Donnie Moore,politics,20,979
Phillip Moorman,"politics,joke,food,science,culture",295,426
Joi Albright,"pets,food,movie,science",504,687
Steven Leanen,"adventure,food,fashion",469,491
Maricela Strunk,science,35,475
Joyce Hann,"sports,science,food,joke,politics,pets,culture",256,775
Roberto Bradley,"adventure,culture",133,427
Cindy Sauer,"politics,culture",68,513
William Sorbello,"fashion,politics,food",411,735
Judy Langley,culture,15,516
Robert Reposa,"sports,fashion,culture,adventure",431,692
Nancy Stjohn,science,35,221
Nell Volante,"joke,fashion,movie,politics",362,15
Mary Townsend,"fashion,science",52,502
Florence Koenig,"movie,pets,culture,politics,science,adventure",346,965
Evelyn Howard,"food,sports,politics,joke,adventure,movie",59,517
Carlos Haskins,"fashion,culture,sports,food,politics,science",360,943
Lawrence Roberts,"culture,movie,pets,food,joke",75,905
Jessie Francis,"joke,movie,science",210,398
Shawna Remiszewski,food,24,762
Penelope Leonard,"science,sports,joke,food,pets",23,436
Franklin Orrick,"adventure,politics",101,85
Curtis Trippi,"fashion,culture,sports,adventure",431,640
Robert Mercure,food,24,948
Ronald Valdez,"science,politics,culture,adventure,food",339,64
Joseph Rivera,"pets,adventure,food,science,politics",371,849
Joseph Billingsley,"joke,movie,fashion,sports",422,979
Mattie Comer,"adventure,science,pets,fashion,culture,politics",38,572
Billy Ramirez,"culture,joke,pets,movie,politics",83,632
Alexis Harrison,"movie,adventure,politics,fashion,joke",114,413
Allen Pitts,"joke,pets",93,465
David Watkins,"food,science",85,382
Katherine Krul,"culture,adventure",133,541
Cathy Young,food,24,807
Tiffany Kloke,"adventure,culture,pets,fashion,science,politics",38,768
Kendra Jefferson,"culture,food,pets,sports,politics,movie",541,650
Marci Bullard,"culture,movie,pets",196,482
Sonja Hare,"sports,joke,food",168,558
Gerald Brooks,"culture,joke,fashion,food",356,629
Alvin Tizon,"fashion,culture,movie,science,sports,pets",416,357
Elsa Lee,"pets,science",87,144
Frank Bergevin,"fashion,joke,movie,adventure",544,593
Shellie Moore,"joke,adventure,politics,science,fashion",407,142
Barry Denson,"joke,adventure,science,pets,movie,sports,fashion",438,449
Jacqueline Miller,"politics,pets,culture,joke,adventure,fashion",38,398
Patricia Mohead,food,24,218
Ivan Richardson,"politics,pets,food,sports,adventure,science",94,721
Michelle Wilson,joke,14,334
Alvin Brazell,"fashion,adventure,joke,sports",178,865
Juan Mayo,"politics,sports",113,961
Larry Motyka,"food,pets,joke,fashion,culture,science,sports",264,929
Roberto Carroll,"joke,food,fashion,adventure,sports,politics,pets",304,849
Stephen Harris,"pets,movie,politics,food,sports",203,424
Richard Bloom,"politics,food,joke,adventure,culture",131,188
Michael Oconnor,"pets,fashion,culture,joke,sports",513,99
Allen Abarca,movie,11,905
Darla Funk,"politics,pets,culture",130,207
Patrick Block,"adventure,movie",29,787
David Mcdonald,"joke,sports,science,adventure,fashion,politics,movie",591,868
Patricia Arellano,"movie,pets,sports,food",533,276
Larry Mcphail,"culture,food,adventure,science,pets",540,871
Samantha Johnson,"culture,sports,science",277,265
Amy Svendsen,"politics,adventure,sports,joke,fashion,movie,food",351,72
Ramon Kounthapanya,"sports,fashion,food",309,605
James Ridley,pets,18,272
Patsy Evans,"pets,movie,sports,science,food",0,980
Johnnie Edwards,"movie,culture,science,sports",430,317
James Mcmillan,"politics,pets,science,food,movie",577,34
Judith Smith,"sports,adventure,movie",170,238
Jessie Bradford,"sports,food",57,241
Helen Porras,"culture,food",124,640
Stanley Reiter,"movie,culture,pets,fashion,sports,adventure",393,446
John Morgan,"sports,pets,science,fashion",488,855
Cynthia Lannier,"movie,fashion",77,727
Kellie Kostrzewa,adventure,26,422
Chasity Romero,"pets,adventure,food,sports,movie,science,fashion",175,706
Theodore Valcarcel,movie,11,996
Doris Montague,"science,fashion,movie,sports,joke,food,culture",340,544
Carl Mussell,"fashion,politics,movie,pets,adventure,culture,science",465,499
Annie Latch,"food,politics,sports,pets,adventure",525,549
Alexis Sabella,joke,14,451
Gloria Choi,"sports,joke,culture,adventure,movie,pets,science",336,474
Fannie Hampton,"movie,culture,fashion,politics,pets",83,781
Jean Mccoy,"sports,culture,politics,fashion",374,698
Douglas Hawkins,"joke,fashion,culture,pets,movie",586,323
Garth Wilkerson,"food,sports",57,594
Therese Javaux,"movie,joke",41,87
Michael Harrison,"culture,science,movie",73,459
